original_text,processed_text,sentiment,confidence
@Trump_MemeC DvMpgHduweKjRvWbDFL5mWnFwKSnpvSQNQPrEZwpGVYu,DvMpgHduweKjRvWbDFL5mWnFwKSnpvSQNQPrEZwpGVYu,Neutral,0.0
@Trump_MemeC DvMpgHduweKjRvWbDFL5mWnFwKSnpvSQNQPrEZwpGVYu,DvMpgHduweKjRvWbDFL5mWnFwKSnpvSQNQPrEZwpGVYu,Neutral,0.0
TRUMP ROGAN https://t.co/CF6BjuYMxz,TRUMP ROGAN,Neutral,0.0
BAHAHAHAHYAAAAAAAAAAAAAAAAAAAAAAAAAAAA https://t.co/ufDEcWsJvy,BAHAHAHAHYAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Neutral,0.0
@Jay_D007 Trump vs Kamala,Trump vs Kamala,Neutral,0.0
Ab ki bar Trump ki sarkar yeh kis ne kha tha aour Trump k liye kis ne canavasing ki thi kuch tu gift milna hai na,Ab ki bar Trump ki sarkar yeh kis ne kha tha aour Trump k liye kis ne canavasing ki thi kuch tu gift milna hai na,Positive,0.4404
@Robiiin_Hoodx trump jan,trump jan,Neutral,0.0
@Antunes1 Tpain,Tpain,Neutral,0.0
@tedcruz Trump Jan 20 🇺🇸,Trump Jan 20 🇺🇸,Neutral,0.0
@VIPSPECIA @TheRealJongwe Trump yuko bize lakini akaunti yake inaendeshwa na yeye mwenyewe bongo vituko,Trump yuko bize lakini akaunti yake inaendeshwa na yeye mwenyewe bongo vituko,Neutral,0.0
@shanshazie mshuma ️ ️ ️ inshallah,mshuma ️ ️ ️ inshallah,Neutral,0.0
@Businesssdad Melania Trump,Melania Trump,Neutral,0.0
Neymar Bale Hazard Salah,Neymar Bale Hazard Salah,Neutral,0.0
@_B1G_Sosa we tebu imbia mtoto lullaby,tebu imbia mtoto lullaby,Neutral,0.0
@Sarah4Trump_ Trump. ️️🇺🇸Benjamin Netanyahu &amp,Trump . ️️🇺🇸Benjamin Netanyahu & amp,Neutral,0.0
@turklandbabee @Chelaa_03 ananishtua bana,ananishtua bana,Neutral,0.0
@findthetruth67 Mini you!!,Mini ! !,Neutral,0.0
@Bookten8 @ShushoChristina Rudi nyumbani wewe,Rudi nyumbani wewe,Neutral,0.0
Hey BLM say her name Debrina Kawam,Hey BLM say name Debrina Kawam,Neutral,0.0
@_B1G_Sosa nduru bois,nduru bois,Neutral,0.0
@PulseNigeria247 So for where Putin Kim Jong-Un Assad Biden ati Trump Lukashenko Mswati III Ramaphosa El-Menfi Ayatollah Ali Khamenei Latif Rashid Ashraf Ghani dey you say Asiwaju Bola Ahmed Tinubu come 3rd?! E de beru Olohun ,Putin Kim Jong-Un Assad Biden ati Trump Lukashenko Mswati III Ramaphosa El-Menfi Ayatollah Ali Khamenei Latif Rashid Ashraf Ghani dey say Asiwaju Bola Ahmed Tinubu come 3rd ? ! E de beru Olohun,Neutral,0.0
@8KnowerOfBall7 @CameronCorduroy Bah bah bullshit.,Bah bah bullshit .,Negative,-0.5859
@REVMAXXING blah blah blah,blah blah blah,Negative,-0.296
@Chota_trump ram ram sa,ram ram sa,Neutral,0.0
Trump = perpetual liar,Trump = perpetual liar,Negative,-0.5106
@Ntobi_ @EduTalkTz @freemanmbowetz @TunduALissu Trump amechangia wapi? Na lini Trump amewahi gombea uongozi wa Republican? Yeye alitia nia nafasi ya urais na baadaye kuteuliwa kuwa mgombea rasmi wa urais. Hapa umeona wapi Trump aligombea uongozi wa chama?,Trump amechangia wapi ? Na lini Trump amewahi gombea uongozi wa Republican ? Yeye alitia nia nafasi ya urais na baadaye kuteuliwa kuwa mgombea rasmi wa urais . Hapa umeona wapi Trump aligombea uongozi wa chama ?,Neutral,0.0
@elonmuskADO Amakara,Amakara,Neutral,0.0
@EduTalkTz @freemanmbowetz @TunduALissu Mchambuzi wa mchongo hujui kama hata Trump alichangia na alikuwa mgombea? Hujui hata OMO alichangia na alikiwa Mgombea? FAM amekuwa ni mchangiaji wa mikutano miradi operation mbalimbali za ujenzi wa Chama! Ask TAL. ,Mchambuzi wa mchongo hujui kama hata Trump alichangia na alikuwa mgombea ? Hujui hata OMO alichangia na alikiwa Mgombea ? FAM amekuwa ni mchangiaji wa mikutano miradi operation mbalimbali za ujenzi wa Chama ! Ask TAL .,Neutral,0.0
@kalegamyeh Axha watutomeshe na mwamba trump sasa anaingiaa balaaa zaidi ,Axha watutomeshe na mwamba trump sasa anaingiaa balaaa zaidi,Neutral,0.0
@realDonaldTrump HNY Trump,HNY Trump,Neutral,0.0
@Trumpsolana0X BAcHZZETXyYZwMGgWxh21Qrr9SJ9RkxE4SdkZNmQH6Pu Send me boss TRUMP,BAcHZZETXyYZwMGgWxh21Qrr9SJ9RkxE4SdkZNmQH6Pu Send boss TRUMP,Neutral,0.0
@DonaldTNews @TrumpusMaximSOL @realDonaldTrump @ponkesol #PONKE CESAR TRUMP. Ahahaha !!! @realDonaldJNews https://t.co/x2TjhRbkZX,PONKE CESAR TRUMP . Ahahaha ! ! !,Neutral,0.0
@Maria_0ii Asian scum,Asian scum,Neutral,0.0
@spectatorindex Imran Khan Trump Era,Imran Khan Trump Era,Neutral,0.0
@tekee Gk2kRrwNMBU4Dn9JhC1Dks8G5X9nqi4ZE5jMvK6bdgEd,Gk2kRrwNMBU4Dn9JhC1Dks8G5X9nqi4ZE5jMvK6bdgEd,Neutral,0.0
@SadahMsangi Trump akisema Africa itawaliwe tena mnaanza kumpiga mawe,Trump akisema Africa itawaliwe tena mnaanza kumpiga mawe,Neutral,0.0
@derbilbao Trump Vs Kamala lo compensa,Trump Vs Kamala lo compensa,Neutral,0.0
@Liberty_Memes Scamala,Scamala,Neutral,0.0
#TLPIsFuture Trump ky kutton ko kia pata pakistan kia kiya ahmiyat ہے https://t.co/ug9ewLZFC1,TLPIsFuture Trump ky kutton ko kia pata pakistan kia kiya ahmiyat ہے,Negative,-0.8555
@AlpacaAurelius Rogan/Trump,Rogan/Trump,Neutral,0.0
@N47Kurt @JustHisbu Ok. Mr Taqqiyah,Ok. Mr Taqqiyah,Positive,0.296
@selvadmk96 Pesama trump putin kooda poi arasiyal pannunga pa,Pesama trump putin kooda poi arasiyal pannunga pa,Neutral,0.0
@Franken_blues Klau ini voting knp ngra lain tdk msuk kedlm radar bknkah setiap ngra slalu ada barisan sakit hati/oposisi/ pembenci bs jd trump akan jd slh 1 krn dinegaranya pendukung demokrat membencinya tp knp tdk ada???jd klau mau mbela junjungan pikir,Klau ini voting knp ngra lain tdk msuk kedlm radar bknkah setiap ngra slalu ada barisan sakit hati/oposisi/ pembenci bs jd trump akan jd slh 1 krn dinegaranya pendukung demokrat membencinya tp knp tdk ada ? ? ? jd klau mau mbela junjungan pikir,Neutral,0.0
@shafqatmm1 Trump ki China sy ni banti Shahid wo us k liya,Trump ki China sy ni banti Shahid wo us k liya,Neutral,0.0
@FeratMDS BeYi8HkPiv6cJFKWGUUtyQShx8jzziZL1PPdJKn6859U,BeYi8HkPiv6cJFKWGUUtyQShx8jzziZL1PPdJKn6859U,Neutral,0.0
@TendayiManyange Mhutter yako iwe blaz. Pfutseki ukuda kutyisa ani pano iwe mbwende yemunhu. Satani. Trump chaiye anoshaudwa pano ko iwe hako mbudziyadhura. Ita mushe stay in yo lane.,Mhutter yako iwe blaz . Pfutseki ukuda kutyisa ani pano iwe mbwende yemunhu . Satani . Trump chaiye anoshaudwa pano ko iwe hako mbudziyadhura . Ita mushe stay yo lane .,Neutral,0.0
@unusual_whales Trump for Kamala,Trump Kamala,Neutral,0.0
@music_thamania @naveeneliza Timing ledh anna neeku alanti tweet ki Emaindhi Baa ani pettali,Timing ledh anna neeku alanti tweet ki Emaindhi Baa ani pettali,Neutral,0.0
@its_mune_ne @citizentvkenya imagine hawajaweka kwa news,imagine hawajaweka kwa news,Neutral,0.0
@Your_high_mess @tweetsbyYoung18 hii upusi ya NGL uache this year,hii upusi ya NGL uache year,Neutral,0.0
@azaad_urdu @M_Suharwardy Trump ka lena dena kya hai wese,Trump ka lena dena kya hai wese,Neutral,0.0
Trump tsunamisi https://t.co/JHhljOLlGq,Trump tsunamisi,Neutral,0.0
@MJTruthUltra KeKs,KeKs,Neutral,0.0
@KeruboSk vil3 inafaa,vil3 inafaa,Neutral,0.0
@RaziTahirPak Agar political achievements ki baat Karen to Netanyahu Trump Imran khan,Agar political achievements ki baat Karen Netanyahu Trump Imran khan,Neutral,0.0
@NarasiNewsroom Tau kn klo Donald trump jdi presiden bakal perang apa? Yups perang dagang.. Negara mata sipit lh yg mengeluarkan virus &amp,Tau kn klo Donald trump jdi presiden bakal perang apa ? Yups perang dagang .. Negara mata sipit lh yg mengeluarkan virus & amp,Neutral,0.0
Sky kayak trump badjingannn,Sky kayak trump badjingannn,Neutral,0.0
Kekius Maximus Trump | $KMTRUMP | #Solana CA: A6Ro8wo6yBJQzxgjLrCG3VYzm6xRECtVA7HuLoqrRjuF ⏳ Age: 2m MCap: $22.1K ️ TG: https://t.co/5N53DkZEBJ Chart: https://t.co/5Q7IvgAGCe Premium calls: https://t.co/Cgh6MbF2Sn Always DYOR. https://t.co/4VF6JUQAxD,Kekius Maximus Trump | $ KMTRUMP | Solana CA : A6Ro8wo6yBJQzxgjLrCG3VYzm6xRECtVA7HuLoqrRjuF ⏳ Age : 2m MCap : $ 22.1K ️ TG : Chart : Premium calls : Always DYOR .,Neutral,0.0
@azaad_urdu @M_Suharwardy Trump inka baap lgta hai inho ne umeed lagai h,Trump inka baap lgta hai inho ne umeed lagai h,Neutral,0.0
@satriawiguna77 @jokowi 1. Russian Laundromat dan Hubungannya dengan Trump 2. Troika Laundromat dan Sistem Perbankan AS 3. Magnitsky Act dan OCCRP 4.Pandora papers Itu contoh nya,1 . Russian Laundromat dan Hubungannya dengan Trump 2 . Troika Laundromat dan Sistem Perbankan 3 . Magnitsky Act dan OCCRP 4.Pandora papers Itu contoh nya,Neutral,0.0
@satriawiguna77 @jokowi Masih nyalahin us padahal masih ngemis invest dari us Occrp emang nargetin negara di luar usa kalau di us sendiri yang bergerak itu new york times dan washington post tapi occrp juga dulu pernah nargetin trump dan jp morgan,Masih nyalahin us padahal masih ngemis invest dari us Occrp emang nargetin negara di luar usa kalau di us sendiri yang bergerak itu new york times dan washington post tapi occrp juga dulu pernah nargetin trump dan jp morgan,Positive,0.2023
@TRUMP_ARMY_ BOOYAAH ,BOOYAAH,Neutral,0.0
@VernonForGA Hallelujah!!,Hallelujah ! !,Positive,0.6792
@Starlink Mesmerizing,Mesmerizing,Neutral,0.0
@EricLDaugh Ok aunt Jemima,Ok aunt Jemima,Positive,0.296
@RajatSharmaLive Trump inauguration Intelligence- PA RG je baat je baat kyaa privacy hai - G media ko bhi gumnaam,Trump inauguration Intelligence- PA RG je baat je baat kyaa privacy hai - G media ko bhi gumnaam,Positive,0.4767
TRUMP YAL MFERGAA,TRUMP YAL MFERGAA,Neutral,0.0
TERBARU: 🇷🇺🇺🇸 Rusia menolak usulan kesepakatan damai Presiden terpilih Trump untuk Ukraina lapor NYPost. @BRICSNews,TERBARU : 🇷🇺🇺🇸 Rusia menolak usulan kesepakatan damai Presiden terpilih Trump untuk Ukraina lapor NYPost .,Neutral,0.0
@kijanawaKCA we feminist wanakuchukia,feminist wanakuchukia,Neutral,0.0
@TrumpDailyPosts Well done Mr Donald Trump wazir e Azam ka halat uthane ka Rehman ki taraf se bahut mubarak ho are naya sal 2025 mubarak ho are or inshallah Rehman aapki country mein signasure karne ke liye taiyar hai are shukar hai USA ke Mafia Joe Biden,Well done Mr Donald Trump wazir e Azam ka halat uthane ka Rehman ki taraf se bahut mubarak ho naya sal 2025 mubarak ho inshallah Rehman aapki country mein signasure karne ke liye taiyar hai shukar hai USA ke Mafia Joe Biden,Positive,0.2732
@naveeneliza @CricCrazyJohns Em life oo mana erri Puku lu Mrng 5 ki lechi mari chusam ani tweet lu estunnaru eellu emo enjoying,Em life oo mana erri Puku lu Mrng 5 ki lechi mari chusam ani tweet lu estunnaru eellu emo enjoying,Positive,0.5267
@Agarnaecho7 we tulia ,tulia,Neutral,0.0
@kawirabrenda231 tokea,tokea,Neutral,0.0
@_kelvinreal ulikuwa unakunywa???,ulikuwa unakunywa ? ? ?,Neutral,0.0
@Variety Trump is Graydon Creed. IYKYK.,Trump Graydon Creed . IYKYK .,Neutral,0.0
@glenn_tunes Cry more trump won kumlala lost boooohooo,Cry trump kumlala lost boooohooo,Negative,-0.6597
@JustEssiee sa kama ni weakling,sa kama ni weakling,Negative,-0.3182
@ImranKhanPTI Prime Minister Khan aapko bhi 2025 Rehman ki taraf se mubarak ho aur USA ka mister Trump usko bhi Rehman ki taraf se wazir e Azam ka halat uthane ka mubarak ho Pakistani so Hawa mein faisala kar liya Khan Sahab aapko Chun Liya are sab Mafia ,Prime Minister Khan aapko bhi 2025 Rehman ki taraf se mubarak ho aur USA ka mister Trump usko bhi Rehman ki taraf se wazir e Azam ka halat uthane ka mubarak ho Pakistani Hawa mein faisala kar liya Khan Sahab aapko Chun Liya sab Mafia,Neutral,0.0
@Maganjih wanatumalizia wasichana hao majamaa,wanatumalizia wasichana hao majamaa,Neutral,0.0
@FriedHardt Hahahahaahha,Hahahahaahha,Neutral,0.0
https://t.co/1tb5n2KMzR #45 / #47 #TRUMP #USA USA USA,45 / 47 TRUMP USA USA USA,Neutral,0.0
@Maganjih we unajua sahi bois,unajua sahi bois,Neutral,0.0
.@Abdirahmanirro Madaxweyne adigoo ixtiraam sharaf iyo qadarinba naga mudan. 1. Waad ogtahay in Donald Trump yidhi waan ictiraafayaa Somaliland. Waajibku miyaanu ahayn inaad Washington udirtid wafdi culus oo khubaro ah oo qadyadeena kasoo dhaadhiciya muujiyana taageero weyn,. Madaxweyne adigoo ixtiraam sharaf iyo qadarinba naga mudan . 1 . Waad ogtahay Donald Trump yidhi waan ictiraafayaa Somaliland . Waajibku miyaanu ahayn inaad Washington udirtid wafdi culus oo khubaro ah oo qadyadeena kasoo dhaadhiciya muujiyana taageero weyn,Neutral,0.0
@shrialokmishra @realDonaldTrump Abe chutiye yha ye sb tweet ki kya jroorat thi trump k tweet me saalon majak tum jaise log khud udwate h hmara duniya me,Abe chutiye yha ye sb tweet ki kya jroorat thi trump k tweet saalon majak tum jaise log khud udwate h hmara duniya,Neutral,0.0
@Krishna_NBK143 Apts - daaku North - chimtu meeda tosesaru US- Trump annaru Tn- shankar out of form,Apts - daaku North - chimtu meeda tosesaru US- Trump annaru Tn- shankar form,Neutral,0.0
https://t.co/ysSVBf7mU2 #45 / #47 #TRUMP #USA USA USA,45 / 47 TRUMP USA USA USA,Neutral,0.0
@RoosterBroost3r Happy New Years Eve Amuraca 🇺🇸 Our Ca starts w/ TRUMP !!! TrumptpNNBEgVjDc8bnemRTNYZKhdsst9ujNAnTSHqp https://t.co/y2JNixx7l9,Happy New Years Eve Amuraca 🇺🇸 Ca starts w/ TRUMP ! ! ! TrumptpNNBEgVjDc8bnemRTNYZKhdsst9ujNAnTSHqp,Positive,0.6784
USA bookings ki Trump. North bookings ki Chimtu. Dennema inka South okate balance edho oka dlm set cheyandi ,USA bookings ki Trump . North bookings ki Chimtu . Dennema inka South okate balance edho oka dlm set cheyandi,Neutral,0.0
@TimpalBali dirumahnya Trump ,dirumahnya Trump,Neutral,0.0
@danel_trump Hhahaha... Aku panitia.. https://t.co/haVf0a3ZKY,Hhahaha ... Aku panitia ..,Neutral,0.0
https://t.co/ysSVBf7mU2 #45 / #47 #TRUMP #USA USA USA,45 / 47 TRUMP USA USA USA,Neutral,0.0
Joe Rogan on Kamala Harris &amp,Joe Rogan Kamala Harris & amp,Neutral,0.0
@JustEssiee mashallah,mashallah,Neutral,0.0
Bongu #shailenzo #sstvi #Trump #Garime #maynata #HurricanMilton #grandefratello #shavier #Tommavi,Bongu shailenzo sstvi Trump Garime maynata HurricanMilton grandefratello shavier Tommavi,Neutral,0.0
@GazzWe00 @Warlock_Shubh othe bhenchod trump da lun le reha tu saale india ch teri bhen dujiya nu dindi fiirdi,othe bhenchod trump da lun le reha tu saale india ch teri bhen dujiya nu dindi fiirdi,Neutral,0.0
Korban kejahatan politik. Semoga kasusnya segera dibuka oleh Presiden Trump. https://t.co/q4bq3J98V1,Korban kejahatan politik . Semoga kasusnya segera dibuka oleh Presiden Trump .,Neutral,0.0
@VoxPopuli_Media Trump Sarah knafo,Trump Sarah knafo,Neutral,0.0
@KimLeftsmile Kuchungulia wasichana wakioga,Kuchungulia wasichana wakioga,Neutral,0.0
@RepublicKivu @Annemwiza Biden na Trump se buriya nibo bantu bari serious wakwitegererezaho?,Biden na Trump se buriya nibo bantu bari serious wakwitegererezaho ?,Negative,-0.0772
@Degrata254 Uko msituni,Uko msituni,Neutral,0.0
#Maga maga indians H1B Elon Musk Vivek ramaswamy Trump USA MICHIO KAKU SUMS UP THE H1B DEBEAT https://t.co/IFMhp30FkC,Maga maga indians H1B Elon Musk Vivek ramaswamy Trump USA MICHIO KAKU SUMS H1B DEBEAT,Neutral,0.0
@azizK_254 @ant1_bruno ule kesi yake ni different,ule kesi yake ni different,Neutral,0.0
@GideonKimaiyo_ Hii ni ya kununua,Hii ni ya kununua,Neutral,0.0
@nih070851088049 @hella1413 TYajiCmTrgqPTXUNmy9oSQCJphpdoH9ovC,TYajiCmTrgqPTXUNmy9oSQCJphpdoH9ovC,Neutral,0.0
@JaredBrehm @Modernmarxist05 Pakistani trump,Pakistani trump,Neutral,0.0
@JuniorHayat_ Fb msee nakuona,Fb msee nakuona,Neutral,0.0
@imarslanyousaf @azharjavaiduk @OfficialDGISPR Yeh ha achievements tumhary abhi gand phutti ha to afghan ki Gand ma ja k ghussi ha army dollers ka rasta abh pkka band hogia ba tumhary abu ka main abu jo nh raha abh trump to dega gand ma dunda https://t.co,Yeh ha achievements tumhary abhi gand phutti ha afghan ki Gand ja k ghussi ha army dollers ka rasta abh pkka band hogia ba tumhary abu ka main abu jo nh raha abh trump dega gand dunda,Positive,0.8555
@SanatanPremi23 Kb aa rhe ha Trump,Kb aa rhe ha Trump,Positive,0.34
@timothymaturi_ tokea,tokea,Neutral,0.0
@TRUMP_ARMY_ Allow RT &amp,Allow RT & amp,Positive,0.2263
@_munee__ Baltasar engonga number 399,Baltasar engonga number 399,Positive,0.0772
@BillyCremer7432 Gedaan,Gedaan,Neutral,0.0
@RockinAlong20 @_itsaninsidejob MK ultra or boot licker perhaps,MK ultra boot licker perhaps,Neutral,0.0
@grenel_parody Imran Khan or trump,Imran Khan trump,Neutral,0.0
US lo Trump North lo Chimtu DLM ok na sir https://t.co/yQ6v3kcpXi,US lo Trump North lo Chimtu DLM ok na sir,Positive,0.296
@SanatanPremi23 TRUMP is fufa of bhakt,TRUMP fufa bhakt,Neutral,0.0
@ndika_palmer Njaa inaniua,Njaa inaniua,Neutral,0.0
sosis bakar,sosis bakar,Neutral,0.0
@BrandnerSt Trump Milei Putin Orban Kickl,Trump Milei Putin Orban Kickl,Neutral,0.0
@O5Bravo Donald Trump juga termasuk kah?,Donald Trump juga termasuk kah ?,Neutral,0.0
@MoneyMystery Government se public ko ya invester ko koi hope nahi hai is liye pre budget rally Next Trump ke aane se US me already rally aa chuki hai ab trump ke aane ke karan china metal sector me kya karta hai wo pending hai So overall january me mujhe,Government se public ko ya invester ko koi hope nahi hai liye pre budget rally Next Trump ke aane se US already rally aa chuki hai ab trump ke aane ke karan china metal sector kya karta hai wo pending hai overall january mujhe,Positive,0.4404
@rishibagree Modi Trump Netanyahu Putin,Modi Trump Netanyahu Putin,Neutral,0.0
@therealantoh Enyewe we have long way to go as Kenya kama tuko na mafala kama wewe anakusaidia nini kama watu WA kijiji yenu bwana stima ama they can't afford meal bro funga hyo mdomo Ingekuwa hata unatumika kutoa mafi hyo mdomo yako .,Enyewe long way go Kenya kama tuko na mafala kama wewe anakusaidia nini kama watu WA kijiji yenu bwana stima ama ca n't afford meal bro funga hyo mdomo Ingekuwa hata unatumika kutoa mafi hyo mdomo yako .,Neutral,0.0
@bacottazza_ skripsian,skripsian,Neutral,0.0
@ww3mediaa Greta kim aq Trump durup selam verecek.,Greta kim aq Trump durup selam verecek .,Neutral,0.0
@ardisatriawan jd inget donald trump yg bilang covid sembuh kalau nelan sabun,jd inget donald trump yg bilang covid sembuh kalau nelan sabun,Neutral,0.0
Aftercare mamorio tunatambua ni kutolewa kejani kama unahepeshwa,Aftercare mamorio tunatambua ni kutolewa kejani kama unahepeshwa,Neutral,0.0
@pamsam690304 @TwipsX @PaceCrypto Ya smga Q1 bisa berjalan apa lg bntr lg trump dilantik,Ya smga Q1 bisa berjalan apa lg bntr lg trump dilantik,Neutral,0.0
@idextratime Smoga eti di undang pelantikan nya Donald Trump..,Smoga eti di undang pelantikan nya Donald Trump ..,Neutral,0.0
@NSBrooklyn5 @Stake @anjing_luuuu @trump_will_wins FKPuLCQdswzF6h8G2qnYpeTjWPrTRvb7hpiDa2iZ98EX,FKPuLCQdswzF6h8G2qnYpeTjWPrTRvb7hpiDa2iZ98EX,Neutral,0.0
@DrJain21 Trump Uncle dekh raha hai https://t.co/QxUEggcsFF,Trump Uncle dekh raha hai,Neutral,0.0
@nerakk57 @Tjeerd001 Yazzuh! ,Yazzuh !,Neutral,0.0
Melania Trump https://t.co/b7uJ2Wllwk,Melania Trump,Neutral,0.0
@Oleshangay @SuluhuSamia Uko Sawa lakini ujue mpaka raslimali zipatikane ni nyie wanachama kutakiwa kulipa Ada kila https://t.co/cRz5RM5ecF kuchangia chama.siasa ni pesa pasipo pesa hamuwezi.kule USA Trump pamoja na utajiri wake lakini alichangiwa na Elon,Uko Sawa lakini ujue mpaka raslimali zipatikane ni nyie wanachama kutakiwa kulipa Ada kila kuchangia chama.siasa ni pesa pasipo pesa hamuwezi.kule USA Trump pamoja na utajiri wake lakini alichangiwa na Elon,Neutral,0.0
@Trump_MemeC 4Kx2Q5s4ukaASVaG51ujbMYgjBxJzRBnByuDVkcueH7X,4Kx2Q5s4ukaASVaG51ujbMYgjBxJzRBnByuDVkcueH7X,Neutral,0.0
@Kue_Mad Hehehe iwewe so young minds uri kuvhunduka suit here in anga idzi,Hehehe iwewe young minds uri kuvhunduka suit anga idzi,Neutral,0.0
@mzeewakaliua Kama Trump usifichefiche vitu ndio maana watanzania mpaka leo hawajui mikataba ya DP world hapo bandarini,Kama Trump usifichefiche vitu ndio maana watanzania mpaka leo hawajui mikataba ya DP world hapo bandarini,Neutral,0.0
@Twinkietinkleb1 Dryness ni yenu,Dryness ni yenu,Neutral,0.0
@tempodotco Sock berat ini jokowi namanya masuk dlm orang terkenal dunia ...gibran kaesang bangga bpknya . Kalau presiden Trump sama Jokowi bekennya ...beken hancurkan Indonesia ,Sock berat ini jokowi namanya masuk dlm orang terkenal dunia ... gibran kaesang bangga bpknya . Kalau presiden Trump sama Jokowi bekennya ... beken hancurkan Indonesia,Neutral,0.0
@alexmwanzo Dini ya hawa haipitangi 50km/h. Slow driving cult,Dini ya hawa haipitangi 50km/h . Slow driving cult,Neutral,0.0
@SkySportsPL Mohammed Salah,Mohammed Salah,Neutral,0.0
@Mandelamugendi Hawa wanakuanga na utamu flani,Hawa wanakuanga na utamu flani,Neutral,0.0
@kefue97 nilipushia mwizi hash tag.,nilipushia mwizi hash tag .,Neutral,0.0
@sri970 Enduku bro dabbulu bokka rerelease la ki,Enduku bro dabbulu bokka rerelease la ki,Neutral,0.0
@CrazyVibes_1 @MattWallace888 Kamala???,Kamala ? ? ?,Neutral,0.0
 Ketua DPR Mike Johnson adalah orang yang baik pekerja keras dan religius. Dia akan melakukan hal yang benar dan kita akan terus menang. Mike mendapat dukungan penuh dan total dari saya. MAGA! tulis Trump di platform Truth Social miliknya. https://t.co/wCkgyoYfAb,Ketua DPR Mike Johnson adalah orang yang baik pekerja keras dan religius . Dia akan melakukan hal yang benar dan kita akan terus menang . Mike mendapat dukungan penuh dan total dari saya . MAGA ! tulis Trump di platform Truth Social miliknya .,Positive,0.3802
@karioetomo @POTUS sorry i mengakui potus yaitu mr trump ,sorry mengakui potus yaitu mr trump,Negative,-0.0772
@WorldTimesWT IK from Pak &amp,IK Pak & amp,Neutral,0.0
Alafu Sahi Kuna watu wanaplan kufanya tabia mbaya Leo?,Alafu Sahi Kuna watu wanaplan kufanya tabia mbaya Leo ?,Neutral,0.0
Bukan Trump namanya kalo nggak datang dengan kebijakan kontroversial. Abis Trump Tariff debt ceiling di AS juga kabarnya bakal dihapus gimana dampaknya? Well tenang! Ada bocoran strategi investasi yang bisa kamu contek biar tetep bisa maksimalin cuan #Trump #SahamAS $QQQ,Bukan Trump namanya kalo nggak datang dengan kebijakan kontroversial . Abis Trump Tariff debt ceiling di juga kabarnya bakal dihapus gimana dampaknya ? Well tenang ! Ada bocoran strategi investasi yang bisa kamu contek biar tetep bisa maksimalin cuan Trump SahamAS $ QQQ,Negative,-0.1759
