full_text,username,label,original_text,processed_text,sentiment,confidence
@MBrooks81301844 @politvidchannel And that's why Trump should follow through and move agencies around the country. Too expensive to live near DC and too liberal. Many workers are taking advantage of the work from home to do little to no work.,OlonRich,,@MBrooks81301844 @politvidchannel And that's why Trump should follow through and move agencies around the country. Too expensive to live near DC and too liberal. Many workers are taking advantage of the work from home to do little to no work.,that trump follow move agenc around countri expens live near dc liber mani worker take advantag work home littl work,Negative,0.976658284664154
@realDonaldTrump Thank you President Trump for everything you are doing to make this country great again! Your courage and resilience in the fight for this great nation is remarkable! I m so thankful to have a president that never surrenders and has God o,okimhonest,,@realDonaldTrump Thank you President Trump for everything you are doing to make this country great again! Your courage and resilience in the fight for this great nation is remarkable! I m so thankful to have a president that never surrenders and has God o,thank presid trump everyth make countri great courag resili fight great nation remark thank presid never surrend god,Positive,0.9968369007110596
@RonFilipkowski Biden will go down in history as the President who defended Ukraine and democracy. Trump will be remembered as the Cheeseburger Eating Surrender Monkey!,Stephen63592394,,@RonFilipkowski Biden will go down in history as the President who defended Ukraine and democracy. Trump will be remembered as the Cheeseburger Eating Surrender Monkey!,biden go histori presid defend ukrain democraci trump rememb cheeseburg eat surrend monkey,Negative,0.9793325662612915
@acnewsitics I know you re slow but walking across the boarder and claiming asylum even if it s not true or crossing now with the CBP app is technically legal He wants all that crap to end and it will!,TrumpVictorious,,@acnewsitics I know you re slow but walking across the boarder and claiming asylum even if it s not true or crossing now with the CBP app is technically legal He wants all that crap to end and it will!,know slow walk across boarder claim asylum even true cross cbp app technic legal want crap end,Negative,0.9992602467536926
@profsamperry I dont see anywhere he mentioned Trump. Your TDS needs treatment Sammy.,TheOnlyG_Lover,,@profsamperry I dont see anywhere he mentioned Trump. Your TDS needs treatment Sammy.,dont see anywher mention trump td need treatment sammi,Negative,0.9827800989151001
@Jeremy_Rich12 You JEREMY are just one reason I have such DEEP admiration and RESPECT for GREAT AMERICAN MEN that raise GREAT AMERICAN BEEF!!! Thank you and have a VERY BLESSED 2025!!! https://t.co/tXl6uMLF5R,SUECGODSGIRL,,@Jeremy_Rich12 You JEREMY are just one reason I have such DEEP admiration and RESPECT for GREAT AMERICAN MEN that raise GREAT AMERICAN BEEF!!! Thank you and have a VERY BLESSED 2025!!! https://t.co/tXl6uMLF5R,jeremi one reason deep admir respect great american men rais great american beef thank bless 2025,Positive,0.9996932744979858
@DefiyantlyFree The ENEMY IS IN the HOUSE - ZERO DEFENSE! The ENEMY ATTACKS EVERY DAY - ZERO ARRESTED! The ENEMY ACTIVELY DESTROYS America = SILENCE! The ENEMY IS A KNOWN PROVEN TRAITOROUS PARTY called the Democrats (and RINO's) DESTRUCTION CONTINUES! Ame,DaveServed,,@DefiyantlyFree The ENEMY IS IN the HOUSE - ZERO DEFENSE! The ENEMY ATTACKS EVERY DAY - ZERO ARRESTED! The ENEMY ACTIVELY DESTROYS America = SILENCE! The ENEMY IS A KNOWN PROVEN TRAITOROUS PARTY called the Democrats (and RINO's) DESTRUCTION CONTINUES! Ame,enemi hous zero defens enemi attack everi day zero arrest enemi activ destroy america silenc enemi known proven traitor parti call democrat rino destruct continu ame,Negative,0.9972813129425049
@alx Trump winning 2024 was even better than 2016 with all of the hurdles he had to overcome and the work he has ahead of him.,rxse7en,,@alx Trump winning 2024 was even better than 2016 with all of the hurdles he had to overcome and the work he has ahead of him.,trump win 2024 even better 2016 hurdl overcom work ahead,Positive,0.9512050747871399
@SpeakerJohnson You better get Trump haters Massie and Roy in line Right Now! We are barely tolerating you. We voted for Trump,slmc05,,@SpeakerJohnson You better get Trump haters Massie and Roy in line Right Now! We are barely tolerating you. We voted for Trump,better get trump hater massi roy line right bare toler vote trump,Negative,0.9980260729789734
@ARhysTay I would trust a rattle snake before I would trust Mr. Trump!,MikeMr0768248,,@ARhysTay I would trust a rattle snake before I would trust Mr. Trump!,would trust rattl snake would trust mr trump,Negative,0.7304850220680237
This too is Trump distracting you from HIS confirmation. He collaborated illegally to rig the election.,GolfDevo,,This too is Trump distracting you from HIS confirmation. He collaborated illegally to rig the election.,trump distract confirm collabor illeg rig elect,Negative,0.9941040873527527
@bhurd2 @ChrisMartzWX @KathyHochul We produce oil in California. California s only hope of surviving as a State is if President Trump declares a National Energy Emergency and takes all of California s special powers away from them to exterminate the oil p,,,@bhurd2 @ChrisMartzWX @KathyHochul We produce oil in California. California s only hope of surviving as a State is if President Trump declares a National Energy Emergency and takes all of California s special powers away from them to exterminate the oil p,produc oil california california hope surviv state presid trump declar nation energi emerg take california special power away extermin oil,Negative,0.9505727887153625
@andreajordan66 @saras76 @ShalleyJm Complete BS. Trump golfed on weekends just like Obama. Biden is on perpetual vacation.,KLong909,,@andreajordan66 @saras76 @ShalleyJm Complete BS. Trump golfed on weekends just like Obama. Biden is on perpetual vacation.,complet bs trump golf weekend like obama biden perpetu vacat,Negative,0.9777770042419434
@ProudElephantUS I support President Trump so yes,HutchingsR72081,,@ProudElephantUS I support President Trump so yes,support presid trump ye,Positive,0.9888759255409241
@realTrumpNewsX Trump be sure to invite President Jair Bolsonaro to your investiture on January 20,robertojuanbr,,@realTrumpNewsX Trump be sure to invite President Jair Bolsonaro to your investiture on January 20,trump sure invit presid jair bolsonaro investitur januari 20,Positive,0.9691591262817383
The 20 realities of the American system (before Trump gets a second crack at wrecking it even more) by @RBReich https://t.co/ZlPrBNBF6U,PhilCygnus,,The 20 realities of the American system (before Trump gets a second crack at wrecking it even more) by @RBReich https://t.co/ZlPrBNBF6U,20 realiti american system trump get second crack wreck even,Negative,0.9956730008125305
Happy New Year from our sinking United Kingdom to all those living across the puddle in the Unite States of America. Roll on the inauguration of President Trump ,JamesHuckleber8,,Happy New Year from our sinking United Kingdom to all those living across the puddle in the Unite States of America. Roll on the inauguration of President Trump ,happi new year sink unit kingdom live across puddl unit state america roll inaugur presid trump,Negative,0.9969428181648254
Happy New Year to everyone who didn't vote for Trump or support a Genocide in 2024. And as for Jimmy and Chris - hope you both die the most horrible deaths for what you did. Actually I suspect Chris is dead already and that's good. Sorry just venting.,mothboy2,,Happy New Year to everyone who didn't vote for Trump or support a Genocide in 2024. And as for Jimmy and Chris - hope you both die the most horrible deaths for what you did. Actually I suspect Chris is dead already and that's good. Sorry just venting.,happi new year everyon didnt vote trump support genocid 2024 jimmi chri hope die horribl death actual suspect chri dead alreadi that good sorri vent,Negative,0.9878191947937012
Trump ate when he said Ppl are dying that never died before cause where s the lie ,kikikanbraid,,Trump ate when he said Ppl are dying that never died before cause where s the lie ,trump ate said ppl die never die caus lie,Negative,0.8947401642799377
@RickyDoggin @KaCurrie_45 Good work done anonymously by Trump and Musk.,1patmar1,,@RickyDoggin @KaCurrie_45 Good work done anonymously by Trump and Musk.,good work done anonym trump musk,Positive,0.9993263483047485
https://t.co/UFW6YJNJgP Jesus You know that Trump did not incite the Riot at the Capitol because Antifa people were breaking in before Trump finished his speech. This is another Harassment of Trump.,helenbible77,,https://t.co/UFW6YJNJgP Jesus You know that Trump did not incite the Riot at the Capitol because Antifa people were breaking in before Trump finished his speech. This is another Harassment of Trump.,jesu know trump incit riot capitol antifa peopl break trump finish speech anoth harass trump,Negative,0.9946736693382263
@JDVanceNewsX No..it was staged by Trump.,IlannaPhillips,,@JDVanceNewsX No..it was staged by Trump.,noit stage trump,Negative,0.8590760827064514
@SmallMetalOwl Giving up? Lol these same people do whatever trump says and trump endorsed Johnson for speaker so what's the problem?,Darthballz619,,@SmallMetalOwl Giving up? Lol these same people do whatever trump says and trump endorsed Johnson for speaker so what's the problem?,give lol peopl whatev trump say trump endors johnson speaker what problem,Negative,0.9954355359077454
@DrJacobsRad @ABDanielleSmith A ditzy talk show host is not very smart . How is she dealing with the issue ?? Oh I know by selling Canada out to trump and his mob of criminals. Dani and her separatist agenda isn't smart . She is dangerous to Canada.,hawaii_lei81611,,@DrJacobsRad @ABDanielleSmith A ditzy talk show host is not very smart . How is she dealing with the issue ?? Oh I know by selling Canada out to trump and his mob of criminals. Dani and her separatist agenda isn't smart . She is dangerous to Canada.,ditzi talk show host smart deal issu oh know sell canada trump mob crimin dani separatist agenda isnt smart danger canada,Negative,0.9902886152267456
@CHRISsW0RLD Same here ! I voted for Trump and I trust him to do what s right .,Christi72863929,,@CHRISsW0RLD Same here ! I voted for Trump and I trust him to do what s right .,vote trump trust right,Positive,0.9985210299491882
'All Butthurt!' Don Lemon Taunts MAGA In New Rant Over His Blistering Attack On 'Racist' Trump Fans https://t.co/7VcB0DutBf,Mediaite,,'All Butthurt!' Don Lemon Taunts MAGA In New Rant Over His Blistering Attack On 'Racist' Trump Fans https://t.co/7VcB0DutBf,butthurt lemon taunt maga new rant blister attack racist trump fan,Negative,0.9972074627876282
Happy New Year from 🇳🇴 Arctic Norway! https://t.co/Enp19QHRUK,Norway4Trump,,Happy New Year from 🇳🇴 Arctic Norway! https://t.co/Enp19QHRUK,happi new year arctic norway,Positive,0.9893254041671753
TRUMP WON GET OVER IT,Gary_white6208,,TRUMP WON GET OVER IT,trump get,Positive,0.9326798319816589
@robbi_fahey @EWErickson Trump has the same position he had during his first term! Which is also the same position as Elon. https://t.co/Iix01A3GBr,MariaLovesUSA,,@robbi_fahey @EWErickson Trump has the same position he had during his first term! Which is also the same position as Elon. https://t.co/Iix01A3GBr,trump posit first term also posit elon,Positive,0.9872608184814453
@LBelle355 Leftists tend to be angry racists too. Especially if a POC votes non Democrat. Did they say anything like Hail Trump. They did a study awhile ago where they asked left right and center people to answer questions like each group. Lefties answere,darthzaketh,,@LBelle355 Leftists tend to be angry racists too. Especially if a POC votes non Democrat. Did they say anything like Hail Trump. They did a study awhile ago where they asked left right and center people to answer questions like each group. Lefties answere,leftist tend angri racist especi poc vote non democrat say anyth like hail trump studi awhil ago ask left right center peopl answer question like group lefti answer,Negative,0.9967952370643616
@realDonaldTrump Thank you President Trump. America is counting on you.,ColleenWharton,,@realDonaldTrump Thank you President Trump. America is counting on you.,thank presid trump america count,Positive,0.9997215867042542
WOAH look how many responses they got AND IT'S ALL FAKE https://t.co/TbZn03Ajic,dollmaker27,,WOAH look how many responses they got AND IT'S ALL FAKE https://t.co/TbZn03Ajic,woah look mani respons got fake,Negative,0.9992280006408691
@MarioNawfal It s classic Washington: slap temporary on something and it becomes a forever policy. Thirty years later the temporary immigration program now feels like it s carved in stone. Biden expanding TPS is like adding fuel to a fire Trump has alread,thetrumptoken,,@MarioNawfal It s classic Washington: slap temporary on something and it becomes a forever policy. Thirty years later the temporary immigration program now feels like it s carved in stone. Biden expanding TPS is like adding fuel to a fire Trump has alread,classic washington slap temporari someth becom forev polici thirti year later temporari immigr program feel like carv stone biden expand tp like ad fuel fire trump alread,Negative,0.9893346428871155
@catturd2 You need NON INSURRECTIONIST ID to be president. Trump does not have one. https://t.co/iuJVnSzc46,theewarrant,,@catturd2 You need NON INSURRECTIONIST ID to be president. Trump does not have one. https://t.co/iuJVnSzc46,need non insurrectionist id presid trump one,Negative,0.8923323750495911
@TRUMP_ARMY_ @realDonaldTrump No proof of that.,Marcia74192580,,@TRUMP_ARMY_ @realDonaldTrump No proof of that.,proof,Positive,0.997519314289093
@TheTNHoller @mcuban @Biggie_Johnson6 How Trump caused inflation,josephwbrody,,@TheTNHoller @mcuban @Biggie_Johnson6 How Trump caused inflation,trump caus inflat,Negative,0.9970218539237976
@LynnHall268 @TalkSixNine Following,Gimpa4Trump,,@LynnHall268 @TalkSixNine Following,follow,Positive,0.9954183101654053
I can t wait until January 20. But I have to remember it took over 4 yrs to get the United States where it is at right now I have great hopes for President Trump and I pray for him every single day but I have to remember it won t be done in a day.,lauralusk06,,I can t wait until January 20. But I have to remember it took over 4 yrs to get the United States where it is at right now I have great hopes for President Trump and I pray for him every single day but I have to remember it won t be done in a day.,wait januari 20 rememb took yr get unit state right great hope presid trump pray everi singl day rememb done day,Negative,0.992316722869873
@MAGAVoice And Trump just endorsed him!!!,CamB1776,,@MAGAVoice And Trump just endorsed him!!!,trump endors,Positive,0.9970055222511292
@laura_greenaura It is weird but we elected Trump We did not elect Shadow President Musk.,ultragrift,,@laura_greenaura It is weird but we elected Trump We did not elect Shadow President Musk.,weird elect trump elect shadow presid musk,Negative,0.9938035011291504
@RpsAgainstTrump Perhaps you should not have destroyed your reputation and career by telling lies about election interference for Donald Trump. When you are in a position of authority and lie there are consequences. Donald Trump destroys anybody who works,CiroLargo,,@RpsAgainstTrump Perhaps you should not have destroyed your reputation and career by telling lies about election interference for Donald Trump. When you are in a position of authority and lie there are consequences. Donald Trump destroys anybody who works,perhap destroy reput career tell lie elect interfer donald trump posit author lie consequ donald trump destroy anybodi work,Negative,0.9989159107208252
@dad_mode11 @Angry_Patriot_1 @JenResistedAGN Trump absolutely got special rules put in place and used against him. That s exactly what I said. You just like those special rules.,ashlee_leeee,,@dad_mode11 @Angry_Patriot_1 @JenResistedAGN Trump absolutely got special rules put in place and used against him. That s exactly what I said. You just like those special rules.,trump absolut got special rule put place use exactli said like special rule,Negative,0.9810814261436462
@ReallyAmerican1 I am so upset CNN has hired Scott Jennings and I m even more upset that Scott Jennings has taken the side of Maga and Trump. He was not like this. He was an actual Republican and now he s gone way too far right and I don t get it. I will ,outdoorgirl999,,@ReallyAmerican1 I am so upset CNN has hired Scott Jennings and I m even more upset that Scott Jennings has taken the side of Maga and Trump. He was not like this. He was an actual Republican and now he s gone way too far right and I don t get it. I will ,upset cnn hire scott jen even upset scott jen taken side maga trump like actual republican gone way far right get,Negative,0.9954073429107666
@officer_Lew Chip Roy is a big mouth blowhard. Him and the never Trump freedom caucus need to be primaried.,TASPatriot,,@officer_Lew Chip Roy is a big mouth blowhard. Him and the never Trump freedom caucus need to be primaried.,chip roy big mouth blowhard never trump freedom caucu need primari,Negative,0.9966574907302856
@RobynDODonnell @LangmanVince I trust President Trump he took a bullet for me so I'll let him decide how to govern in HIS new administration,sashaohel,,@RobynDODonnell @LangmanVince I trust President Trump he took a bullet for me so I'll let him decide how to govern in HIS new administration,trust presid trump took bullet ill let decid govern new administr,Negative,0.9206547141075134
Freedom Fight 2024 🇺🇸 Children are the ️ to our Future. Let them keep their innocence ️ Save God's Children Worldwide ,Sharon1137448,,Freedom Fight 2024 🇺🇸 Children are the ️ to our Future. Let them keep their innocence ️ Save God's Children Worldwide ,freedom fight 2024 children futur let keep innoc save god children worldwid,Negative,0.9692896604537964
@catturd2 We need to stay vigilant and vocal as The People we don t now go back to quiet yes people Trump and all are accountable to us just as much as any other political person,DlopeDan,,@catturd2 We need to stay vigilant and vocal as The People we don t now go back to quiet yes people Trump and all are accountable to us just as much as any other political person,need stay vigil vocal peopl go back quiet ye peopl trump account us much polit person,Negative,0.9951748251914978
@RpsAgainstTrump The whole world knows the #GOP supported #Trump a thief rapist sexual predator Russian agent pathological liar indicted criminal to be President of #USA. The inability of the Republican party to identify a single honest member across the ,ashman06,,@RpsAgainstTrump The whole world knows the #GOP supported #Trump a thief rapist sexual predator Russian agent pathological liar indicted criminal to be President of #USA. The inability of the Republican party to identify a single honest member across the ,whole world know support thief rapist sexual predat russian agent patholog liar indict crimin presid inabl republican parti identifi singl honest member across,Negative,0.7195500731468201
There trying to make America broke before Trump gets in office it wasn t the Chinese it was the democrats,KHenny1208,,There trying to make America broke before Trump gets in office it wasn t the Chinese it was the democrats,tri make america broke trump get offic chines democrat,Negative,0.9555003643035889
@chiproytx Get out of Trump s way Chip. Texas is done with you.,TylerHunterTX,,@chiproytx Get out of Trump s way Chip. Texas is done with you.,get trump way chip texa done,Negative,0.9936634302139282
@RyGuyFly25 @MattWallace888 I m assuming you re against Trump and other rich politicians too then,connorspiotto,,@RyGuyFly25 @MattWallace888 I m assuming you re against Trump and other rich politicians too then,assum trump rich politician,Positive,0.9648872017860413
@Crewstified @CryptidPolitics Trump tried to railroad DeSantis' bid for a 2nd term as Governor even before DeSantis decided to run in the primary. Even while doing that DeSantis still won in a landslide and even turned Dade County red.,baumusc,,@Crewstified @CryptidPolitics Trump tried to railroad DeSantis' bid for a 2nd term as Governor even before DeSantis decided to run in the primary. Even while doing that DeSantis still won in a landslide and even turned Dade County red.,trump tri railroad desanti bid 2nd term governor even desanti decid run primari even desanti still landslid even turn dade counti red,Negative,0.9923742413520813
🇺🇸 President Trump says #Bitcoin and crypto will skyrocket like never before even beyond your expectations. WHAT A WILD YEAR!!! https://t.co/iTCYnMEaz9,viveek112,,🇺🇸 President Trump says #Bitcoin and crypto will skyrocket like never before even beyond your expectations. WHAT A WILD YEAR!!! https://t.co/iTCYnMEaz9,presid trump say crypto skyrocket like never even beyond expect wild year,Positive,0.8222888708114624
Best moment of the year goes to Trump coming back to the White House,ZachCombs1994,,Best moment of the year goes to Trump coming back to the White House,best moment year goe trump come back white hous,Positive,0.9929932951927185
@GuntherEagleman Happy new year bud,Donnie4Veterans,,@GuntherEagleman Happy new year bud,happi new year bud,Positive,0.9963862895965576
@JAYMADDIS @derg_corv Trump is an admitted pedophile and you admire him https://t.co/eJ3fHaf787,OooFur,,@JAYMADDIS @derg_corv Trump is an admitted pedophile and you admire him https://t.co/eJ3fHaf787,trump admit pedophil admir,Positive,0.9940296411514282
@realDonaldTrump Why does Trump s comb-over go the other way in two shots at the 1:58 mark?,V29501630,,@realDonaldTrump Why does Trump s comb-over go the other way in two shots at the 1:58 mark?,trump combov go way two shot 158 mark,Positive,0.9691861867904663
@PopularLiberal You people have no common sense. After they went after Trump with everything they could try and get him with don t you think if Trump had done this they would have brought charges and went after him. Because they did NOT do that you can be,AmyGailRebel,,@PopularLiberal You people have no common sense. After they went after Trump with everything they could try and get him with don t you think if Trump had done this they would have brought charges and went after him. Because they did NOT do that you can be,peopl common sens went trump everyth could tri get think trump done would brought charg went,Negative,0.9899362325668335
@davidjmcwalter @EricLDaugh when you look at how the dems attack Trump and Maga they always use Knee Grows: Abrams Bragg James Chutkin Willis Graves and so on I guess since the Knee Grows dominate violent street crime they might as well dominate criminal ,rdccdr1,,@davidjmcwalter @EricLDaugh when you look at how the dems attack Trump and Maga they always use Knee Grows: Abrams Bragg James Chutkin Willis Graves and so on I guess since the Knee Grows dominate violent street crime they might as well dominate criminal ,look dem attack trump maga alway use knee grow abram bragg jame chutkin willi grave guess sinc knee grow domin violent street crime might well domin crimin,Negative,0.9987534284591675
@RealAF_Patriot That's actually been reported up for several months now. A lady who goes by Nancy Drew in TT has been showing videos for some time I think since at least Sept/Oct,420TrumpFanGirl,,@RealAF_Patriot That's actually been reported up for several months now. A lady who goes by Nancy Drew in TT has been showing videos for some time I think since at least Sept/Oct,that actual report sever month ladi goe nanci drew tt show video time think sinc least septoct,Negative,0.9962199330329895
@M0RNINGWOODZ @OccupyDemocrats @Poptivism_ Trump's working for you too.,GordonPurch,,@M0RNINGWOODZ @OccupyDemocrats @Poptivism_ Trump's working for you too.,trump work,Positive,0.9897086024284363
@Michell33650674 Sore loser is all you are Trump is the President,TmintonAl,,@Michell33650674 Sore loser is all you are Trump is the President,sore loser trump presid,Negative,0.9893310070037842
Happy New Year everyone! 2024 was a great year for the Free World. I can t wait for 2025 and it s going to be beautiful! #2025newyear #Iran #Israel #Trump,iri_image,,Happy New Year everyone! 2024 was a great year for the Free World. I can t wait for 2025 and it s going to be beautiful! #2025newyear #Iran #Israel #Trump,happi new year everyon 2024 great year free world wait 2025 go beauti,Positive,0.9897733330726624
@AB84 They released the fog.,ElonTrumpRock,,@AB84 They released the fog.,releas fog,Negative,0.9793118238449097
Perhaps the Americans that voted for Trump participated in Trump s and Epstein s island parties. There most be a rational reason the fanatics voted for a rapist as President.,denisekeever09,,Perhaps the Americans that voted for Trump participated in Trump s and Epstein s island parties. There most be a rational reason the fanatics voted for a rapist as President.,perhap american vote trump particip trump epstein island parti ration reason fanat vote rapist presid,Negative,0.9542232155799866
@MsAvaArmstrong Give Trump the chance to reform it from within. We shouldn't let them take over the party of Lincoln!,JoeMasucci,,@MsAvaArmstrong Give Trump the chance to reform it from within. We shouldn't let them take over the party of Lincoln!,give trump chanc reform within shouldnt let take parti lincoln,Negative,0.7712668180465698
Trump wishes everyone a #HappyNewYear2025! https://t.co/RsVsVFwsF9,_emergent_,,Trump wishes everyone a #HappyNewYear2025! https://t.co/RsVsVFwsF9,trump wish everyon,Positive,0.9405250549316406
@Guntalk Secret service shot at the second Trump assassin point blank 6 times was it &amp,,,@Guntalk Secret service shot at the second Trump assassin point blank 6 times was it &amp,secret servic shot second trump assassin point blank time amp,Negative,0.9768533706665039
@krassenstein @byedeathsantis I hope also that she will be told that a weaponized Biden DoJ constructed these cases against Trump in an attempt to remove him from the ballot.,Len_Osborne,,@krassenstein @byedeathsantis I hope also that she will be told that a weaponized Biden DoJ constructed these cases against Trump in an attempt to remove him from the ballot.,hope also told weapon biden doj construct case trump attempt remov ballot,Negative,0.8087453842163086
@DropPopNet elon and donald trump like no question,daggmasken15783,,@DropPopNet elon and donald trump like no question,elon donald trump like question,Positive,0.9837074875831604
@MattWallace888 Wait till you find out how much money Donald Trump has ,cubagooningsnr,,@MattWallace888 Wait till you find out how much money Donald Trump has ,wait till find much money donald trump,Negative,0.9991291165351868
@CalltoActivism Who the fuck cares lmao stop obsessing over Trump and Republicans it will help your mental health,RaginGayjun,,@CalltoActivism Who the fuck cares lmao stop obsessing over Trump and Republicans it will help your mental health,fuck care lmao stop obsess trump republican help mental health,Negative,0.9953603148460388
If one does the math 37% of edible voters failed to cast a ballot. Meaning Trump got 31.4% of possible votes Harris got 31.4% The mandate was for none of the above,griffbos,,If one does the math 37% of edible voters failed to cast a ballot. Meaning Trump got 31.4% of possible votes Harris got 31.4% The mandate was for none of the above,one math 37 edibl voter fail cast ballot mean trump got 314 possibl vote harri got 314 mandat none,Negative,0.9981114864349365
@RepThomasMassie Who can get 218 votes. You are with Trump or against him. You choose at your own risk.,robert97986,,@RepThomasMassie Who can get 218 votes. You are with Trump or against him. You choose at your own risk.,get 218 vote trump choos risk,Negative,0.9805212020874023
@shipwreckedcrew He is confusing H1 and H2. Trump inc is not listed in government website of H1 employers.,lazlosolax71820,,@shipwreckedcrew He is confusing H1 and H2. Trump inc is not listed in government website of H1 employers.,confus h1 h2 trump inc list govern websit h1 employ,Negative,0.9808436036109924
@beach49r @HalePage1 @Markfry809 Yeah Trump makes me angry! He is the perfect example of what a person should not be! And so many celebrate him for it... Yeah aloha and have a nice New Year's Eve anyway,the_MuschiKatZ,,@beach49r @HalePage1 @Markfry809 Yeah Trump makes me angry! He is the perfect example of what a person should not be! And so many celebrate him for it... Yeah aloha and have a nice New Year's Eve anyway,yeah trump make angri perfect exampl person mani celebr yeah aloha nice new year eve anyway,Positive,0.9746326804161072
